"item" "cond" "subj" "so" "rt"
"1" "1" "a" "1" -0.5 275.885785577152
"2" "2" "b" "1" 0.5 202.748621758833
"3" "3" "a" "1" -0.5 355.498092380221
"4" "4" "b" "1" 0.5 205.029621296112
"5" "5" "a" "1" -0.5 341.142518593363
"6" "6" "b" "1" 0.5 229.049022877138
"7" "7" "a" "1" -0.5 254.618162840004
"8" "8" "b" "1" 0.5 307.652786169909
"9" "9" "a" "1" -0.5 212.340376637639
"10" "10" "b" "1" 0.5 310.027631903015
"11" "11" "a" "1" -0.5 369.880941993684
"12" "12" "b" "1" 0.5 505.515741037255
"13" "13" "a" "1" -0.5 274.703366708379
"14" "14" "b" "1" 0.5 313.293383460372
"15" "15" "a" "1" -0.5 221.923291632756
"16" "16" "b" "1" 0.5 275.3714421411
"1.1" "1" "a" "2" -0.5 357.20434958833
"2.1" "2" "b" "2" 0.5 475.196880589159
"3.1" "3" "a" "2" -0.5 271.621284116616
"4.1" "4" "b" "2" 0.5 666.181449195837
"5.1" "5" "a" "2" -0.5 256.026729699492
"6.1" "6" "b" "2" 0.5 425.787459794913
"7.1" "7" "a" "2" -0.5 694.644028847162
"8.1" "8" "b" "2" 0.5 631.159286893172
"9.1" "9" "a" "2" -0.5 530.666169177947
"10.1" "10" "b" "2" 0.5 595.868314035728
"11.1" "11" "a" "2" -0.5 501.454116495494
"12.1" "12" "b" "2" 0.5 395.163344910776
"13.1" "13" "a" "2" -0.5 632.672437108136
"14.1" "14" "b" "2" 0.5 333.824408819165
"15.1" "15" "a" "2" -0.5 171.952701562427
"16.1" "16" "b" "2" 0.5 467.213179399976
"1.2" "1" "a" "3" -0.5 147.22618464555
"2.2" "2" "b" "3" 0.5 564.228536960704
"3.2" "3" "a" "3" -0.5 189.618691291679
"4.2" "4" "b" "3" 0.5 213.504710896838
"5.2" "5" "a" "3" -0.5 378.436669760597
"6.2" "6" "b" "3" 0.5 245.728271624057
"7.2" "7" "a" "3" -0.5 292.22831183151
"8.2" "8" "b" "3" 0.5 159.331423014906
"9.2" "9" "a" "3" -0.5 208.470868146724
"10.2" "10" "b" "3" 0.5 321.155247161995
"11.2" "11" "a" "3" -0.5 373.673582853763
"12.2" "12" "b" "3" 0.5 161.998228016227
"13.2" "13" "a" "3" -0.5 342.231191394131
"14.2" "14" "b" "3" 0.5 237.465966213981
"15.2" "15" "a" "3" -0.5 474.287754778774
"16.2" "16" "b" "3" 0.5 150.871359838612
"1.3" "1" "a" "4" -0.5 417.853396263051
"2.3" "2" "b" "4" 0.5 340.250497929936
"3.3" "3" "a" "4" -0.5 199.362208567164
"4.3" "4" "b" "4" 0.5 191.657025914724
"5.3" "5" "a" "4" -0.5 299.982215175696
"6.3" "6" "b" "4" 0.5 180.274852805373
"7.3" "7" "a" "4" -0.5 363.080335368054
"8.3" "8" "b" "4" 0.5 115.235656916201
"9.3" "9" "a" "4" -0.5 253.823828650497
"10.3" "10" "b" "4" 0.5 453.816174873427
"11.3" "11" "a" "4" -0.5 306.05344654579
"12.3" "12" "b" "4" 0.5 214.098116410984
"13.3" "13" "a" "4" -0.5 214.066786097658
"14.3" "14" "b" "4" 0.5 280.386394211162
"15.3" "15" "a" "4" -0.5 252.761725399756
"16.3" "16" "b" "4" 0.5 243.053169112466
"1.4" "1" "a" "5" -0.5 472.057086657869
"2.4" "2" "b" "5" 0.5 575.374902336298
"3.4" "3" "a" "5" -0.5 403.67168035258
"4.4" "4" "b" "5" 0.5 486.248472123221
"5.4" "5" "a" "5" -0.5 796.492307639425
"6.4" "6" "b" "5" 0.5 627.270700981396
"7.4" "7" "a" "5" -0.5 827.463187391475
"8.4" "8" "b" "5" 0.5 434.428476767756
"9.4" "9" "a" "5" -0.5 388.097673620064
"10.4" "10" "b" "5" 0.5 554.522761932196
"11.4" "11" "a" "5" -0.5 458.043111410221
"12.4" "12" "b" "5" 0.5 558.389730653904
"13.4" "13" "a" "5" -0.5 376.890001792587
"14.4" "14" "b" "5" 0.5 582.809209974256
"15.4" "15" "a" "5" -0.5 392.410238499204
"16.4" "16" "b" "5" 0.5 382.595753374429
"1.5" "1" "a" "6" -0.5 422.333689540305
"2.5" "2" "b" "6" 0.5 813.202421980065
"3.5" "3" "a" "6" -0.5 451.715340793283
"4.5" "4" "b" "6" 0.5 681.683677635722
"5.5" "5" "a" "6" -0.5 401.173180039403
"6.5" "6" "b" "6" 0.5 349.514223963619
"7.5" "7" "a" "6" -0.5 665.939776352423
"8.5" "8" "b" "6" 0.5 1423.19334592964
"9.5" "9" "a" "6" -0.5 537.448947106156
"10.5" "10" "b" "6" 0.5 781.699237763876
"11.5" "11" "a" "6" -0.5 657.56889928671
"12.5" "12" "b" "6" 0.5 722.37600392674
"13.5" "13" "a" "6" -0.5 316.697746718455
"14.5" "14" "b" "6" 0.5 617.836359864399
"15.5" "15" "a" "6" -0.5 720.368579380598
"16.5" "16" "b" "6" 0.5 476.765370826131
"1.6" "1" "a" "7" -0.5 599.835221013707
"2.6" "2" "b" "7" 0.5 282.824862603336
"3.6" "3" "a" "7" -0.5 212.509351123793
"4.6" "4" "b" "7" 0.5 732.692312994975
"5.6" "5" "a" "7" -0.5 122.301773992144
"6.6" "6" "b" "7" 0.5 341.866819943685
"7.6" "7" "a" "7" -0.5 333.78727366934
"8.6" "8" "b" "7" 0.5 338.431986183378
"9.6" "9" "a" "7" -0.5 275.162032242382
"10.6" "10" "b" "7" 0.5 569.784563484763
"11.6" "11" "a" "7" -0.5 345.921778744463
"12.6" "12" "b" "7" 0.5 593.560335174057
"13.6" "13" "a" "7" -0.5 476.338100079056
"14.6" "14" "b" "7" 0.5 368.925848805966
"15.6" "15" "a" "7" -0.5 337.719927683025
"16.6" "16" "b" "7" 0.5 493.41243578483
"1.7" "1" "a" "8" -0.5 459.317310643311
"2.7" "2" "b" "8" 0.5 730.045373359795
"3.7" "3" "a" "8" -0.5 481.942032766895
"4.7" "4" "b" "8" 0.5 523.751019169481
"5.7" "5" "a" "8" -0.5 227.85922493903
"6.7" "6" "b" "8" 0.5 292.31382452692
"7.7" "7" "a" "8" -0.5 513.625189026968
"8.7" "8" "b" "8" 0.5 406.709344517409
"9.7" "9" "a" "8" -0.5 334.079120515481
"10.7" "10" "b" "8" 0.5 545.090184263247
"11.7" "11" "a" "8" -0.5 299.689001774452
"12.7" "12" "b" "8" 0.5 784.738850392244
"13.7" "13" "a" "8" -0.5 322.731655383645
"14.7" "14" "b" "8" 0.5 241.51945420559
"15.7" "15" "a" "8" -0.5 210.293267038585
"16.7" "16" "b" "8" 0.5 405.82512743824
"1.8" "1" "a" "9" -0.5 399.754404884206
"2.8" "2" "b" "9" 0.5 666.99803363751
"3.8" "3" "a" "9" -0.5 234.141913126981
"4.8" "4" "b" "9" 0.5 505.132224101829
"5.8" "5" "a" "9" -0.5 294.303377875931
"6.8" "6" "b" "9" 0.5 308.07329432137
"7.8" "7" "a" "9" -0.5 475.10509039192
"8.8" "8" "b" "9" 0.5 568.801395023387
"9.8" "9" "a" "9" -0.5 218.439623391291
"10.8" "10" "b" "9" 0.5 451.281691990399
"11.8" "11" "a" "9" -0.5 475.752446618159
"12.8" "12" "b" "9" 0.5 420.377633516819
"13.8" "13" "a" "9" -0.5 449.675196695641
"14.8" "14" "b" "9" 0.5 646.312366993296
"15.8" "15" "a" "9" -0.5 869.504301086742
"16.8" "16" "b" "9" 0.5 759.951772350641
"1.9" "1" "a" "10" -0.5 243.588593144657
"2.9" "2" "b" "10" 0.5 310.659600007466
"3.9" "3" "a" "10" -0.5 361.58232412722
"4.9" "4" "b" "10" 0.5 264.826680235056
"5.9" "5" "a" "10" -0.5 176.018065888908
"6.9" "6" "b" "10" 0.5 500.091365263461
"7.9" "7" "a" "10" -0.5 317.434848724372
"8.9" "8" "b" "10" 0.5 292.024855567409
"9.9" "9" "a" "10" -0.5 203.867015299981
"10.9" "10" "b" "10" 0.5 236.659025047771
"11.9" "11" "a" "10" -0.5 259.043388538486
"12.9" "12" "b" "10" 0.5 337.929248180807
"13.9" "13" "a" "10" -0.5 324.173920935101
"14.9" "14" "b" "10" 0.5 190.393450348612
"15.9" "15" "a" "10" -0.5 303.241910470279
"16.9" "16" "b" "10" 0.5 246.542357732537
"1.10" "1" "a" "11" -0.5 162.900403866335
"2.10" "2" "b" "11" 0.5 131.407630858377
"3.10" "3" "a" "11" -0.5 235.848367979215
"4.10" "4" "b" "11" 0.5 175.556864666927
"5.10" "5" "a" "11" -0.5 168.389135404907
"6.10" "6" "b" "11" 0.5 135.373598313259
"7.10" "7" "a" "11" -0.5 210.683708597018
"8.10" "8" "b" "11" 0.5 297.470954403555
"9.10" "9" "a" "11" -0.5 218.658946521814
"10.10" "10" "b" "11" 0.5 146.700303989615
"11.10" "11" "a" "11" -0.5 160.832838260987
"12.10" "12" "b" "11" 0.5 148.265346369448
"13.10" "13" "a" "11" -0.5 399.37432843315
"14.10" "14" "b" "11" 0.5 146.319097203837
"15.10" "15" "a" "11" -0.5 155.438696578255
"16.10" "16" "b" "11" 0.5 422.333090595033
"1.11" "1" "a" "12" -0.5 613.815283490944
"2.11" "2" "b" "12" 0.5 733.338381512152
"3.11" "3" "a" "12" -0.5 332.666287764514
"4.11" "4" "b" "12" 0.5 855.104049160521
"5.11" "5" "a" "12" -0.5 334.995291426053
"6.11" "6" "b" "12" 0.5 556.600310611958
"7.11" "7" "a" "12" -0.5 662.611698083922
"8.11" "8" "b" "12" 0.5 440.913738526043
"9.11" "9" "a" "12" -0.5 642.798243673679
"10.11" "10" "b" "12" 0.5 476.800741992859
"11.11" "11" "a" "12" -0.5 377.519243487788
"12.11" "12" "b" "12" 0.5 853.097550287465
"13.11" "13" "a" "12" -0.5 547.857947184613
"14.11" "14" "b" "12" 0.5 816.125797985157
"15.11" "15" "a" "12" -0.5 778.432927768982
"16.11" "16" "b" "12" 0.5 1530.04251620468
"1.12" "1" "a" "13" -0.5 216.221906653234
"2.12" "2" "b" "13" 0.5 250.119110770467
"3.12" "3" "a" "13" -0.5 205.371711925256
"4.12" "4" "b" "13" 0.5 165.02107871362
"5.12" "5" "a" "13" -0.5 196.093099167368
"6.12" "6" "b" "13" 0.5 156.446714374647
"7.12" "7" "a" "13" -0.5 241.4003453669
"8.12" "8" "b" "13" 0.5 371.968738864937
"9.12" "9" "a" "13" -0.5 304.958643229015
"10.12" "10" "b" "13" 0.5 214.198770402849
"11.12" "11" "a" "13" -0.5 494.077392938409
"12.12" "12" "b" "13" 0.5 360.239087837295
"13.12" "13" "a" "13" -0.5 164.749472949033
"14.12" "14" "b" "13" 0.5 215.797938255496
"15.12" "15" "a" "13" -0.5 207.667257688798
"16.12" "16" "b" "13" 0.5 234.785083204834
"1.13" "1" "a" "14" -0.5 220.655178170085
"2.13" "2" "b" "14" 0.5 329.02561769062
"3.13" "3" "a" "14" -0.5 203.35218976946
"4.13" "4" "b" "14" 0.5 619.34631690765
"5.13" "5" "a" "14" -0.5 523.094182055959
"6.13" "6" "b" "14" 0.5 473.937283335407
"7.13" "7" "a" "14" -0.5 213.920745051016
"8.13" "8" "b" "14" 0.5 336.460428197896
